stack	cell	time	area	perimeter	circ	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity	junction_not_tracable	replicate
7	3	50	140.305	44.198	0.903	15.484	1069	1096.75	100.583	11.714	1.225	0.817	0.985	no	1
7	3	100	146.784	44.891	0.915	15.678	1069.75	1095	98.844	12.107	1.206	0.829	0.998	no	1
7	3	200	153.813	46.055	0.911	16.02	1068	1095	99.733	12.819	1.172	0.853	0.987	no	1
7	4	0	112.948	45.419	0.688	16.015	1595.75	1191.25	119.036	10.013	1.729	0.578	0.879	no	1
7	4	10	125.166	44.937	0.779	16.333	1616	1335.75	71.235	9.521	1.668	0.599	0.959	no	1
7	4	50	133.181	45.763	0.799	16.497	1596.25	1189.25	98.117	10.096	1.627	0.615	0.963	no	1
7	4	100	136.996	46.846	0.784	16.912	1596	1187	119.028	10.456	1.605	0.623	0.954	no	1
7	4	200	143.087	47.406	0.8	17.011	1617	1342.25	72.488	10.605	1.568	0.638	0.971	no	1
8	1	0	71.86	33.679	0.796	13.295	1573.667	982	88.288	8.867	1.33	0.752	0.994	no	1
8	1	10	76.789	34.752	0.799	13.584	1574.333	983.333	88.324	9.365	1.286	0.778	0.973	no	1
8	1	50	78.456	34.676	0.82	13.398	1573.333	984.333	89.228	9.448	1.263	0.792	0.995	no	1
8	1	100	79.113	34.453	0.838	13.351	1571.333	982.333	86.433	9.473	1.282	0.78	0.997	no	1
8	1	200	84.066	35.945	0.818	13.962	1570.333	984	86.738	9.682	1.274	0.785	0.99	no	1
8	2	0	115.073	44.507	0.73	17.495	1155	1030.667	22.065	7.717	2.205	0.453	0.979	yes	1
8	2	10	130.67	46.412	0.762	18.228	1152.667	1032	22.602	8.627	2.01	0.497	0.995	yes	1
8	2	50	131.644	46.192	0.775	18.253	1151.333	1033.333	22.201	8.607	2.009	0.498	0.999	yes	1
8	2	100	135.376	46.496	0.787	18.267	1151.333	1033.667	22.306	8.924	1.957	0.511	0.999	yes	1
8	2	200	139.801	47.036	0.794	18.267	1151.333	1033.667	22.306	9.089	1.913	0.523	1	yes	1
8	3	0	156.454	48.298	0.843	17.093	842.333	1100	120.466	12.153	1.362	0.734	0.967	no	1
8	3	10	171.5	49.806	0.869	17.698	831.667	1102	124.274	12.648	1.321	0.757	0.985	no	1
8	3	50	171.394	49.775	0.869	17.737	835.333	1100	121.004	12.551	1.356	0.738	0.983	no	1
8	3	100	174.68	50.176	0.872	17.724	826.667	1106.667	126.216	12.815	1.351	0.74	0.989	no	1
8	3	200	176.323	50.254	0.877	17.608	838.333	1099	121.669	12.893	1.319	0.758	0.984	no	1
9	2	0	133.487	46.866	0.764	18.041	1130.667	942.667	170.67	9.756	1.958	0.511	0.954	no	1
9	2	10	147.183	47.501	0.82	18.336	1128.333	939.333	169.332	10.079	1.818	0.55	0.985	no	1
9	2	50	156.02	49.119	0.813	18.647	1128	939.667	168.494	10.744	1.78	0.562	0.971	no	1
